Titile,Review
Jetblue,"Omg I had such a great experience flying with Jetblue. Checking was super easy, flight was on time and the seats on the aircraft was very roomy. I traveled with my boyfriend who is a very big guy and he was very comfortable on the plane. Our trip was worth every penny and we"
Quite Nice,Seemed a little more leg room. Leather seats. Display screen with many options to watch or listen but be sure to bring your listening device or pay an arm and a leg to get one.
Efficient Friendly Comfortable,"I continue to be impressed by JetBlue. Round trip Boston to San Francisco. Lots of leg room, great service and ON TIME. What more can you ask for?"
My Last 2 trips,"Although the flights over the last 4 years were nonstop, It would be better if I flown during the day instead of at night landing in Reno, and landing in the morning back at JFK on a red eye flight. There should be a daytime flight direct and nonstop."
Nothing like a mint flight on JetBlue!!,"Lay down relax and enjoy the flight!! Flying mint is the way to go. The seat layout to full beds and the massage you !! And the food is yummy!! You get three different small plates!! Best thing and you can’t mess is their signature cocktail get that with or without vodka I "
"Terrible customer service the wait times are outrageous and still no help with booking, jetblue is terrible now!","Would like to book a flight but I can’t! Ridiculous I don’t have time to wait on the phone for an hour, get it together jetblue"
Comfortable safe flight,"Comfortable seats,clean,pleasant flight attendants,direct flight. WiFi is free with jet blue card. Only negative was red eye flight home where flight attendent was talking loud to another passenger for some time disrupting my sleep."
Delays,"While en route to Logan airport for my Jetblue flight today, I get an email that my flight to JFK is delayed by two hours — I would then miss my connecting flight to Albuquerque. The agent was very helpful and put us on the earlier flight which was supposed to leave at 1:30pm"
no customer service,"on our flight the monitor didn't work at my seat. . the flight attendants were less than helpful.After three different attendants hit the, reset button, to no avail, offered no recourse . No seat change,no offering any extra drinks or snacks. They were fine with me flying from"
Horrible experience! Worse than spirit and frontier!!,What a Surprise it was for me to finally fly jet blue. When I looked for my airplane tickets I had options that went from $20 to the most expensive which was 69 and the $69 1 is the one I picks because I thought you know what I've never flown jetblue before and let me see if
Among the best US flight experiences,"Easy online check-in and paying for additional luggage. Competent service at Sea-Tac. Enough pitch between seats, even in economy. And punctual take-off and landing."
"Great, as always","No shock why Jet Blue continues be a superb airline. The attendants were friendly, Helpful and cheery. Snacks are bottomless and there is plenty of leg room. I am cane disabled and there is never a problem pre-boarding. We prefer to travel Jet Blue whenever possible."
Not the greatest,"Expected much better service. Cold, unfriendly service by the cabin attendants. Check-in was good. On-time flight. Dirty cabin & washrooms."
"On Time and On Schedule! Wow, what an Airline!",Haven’t flown JetBlue before. This is for flights 1853 and 88 on 10/3/19. I had no idea what I was missing. Both flights (from Jax to FLL and from FLL to Albany) were on time (or less time than promised.). Boarding was quick and efficient. Flight attendants were personable
Expected more and better,"What a disappointment. Check in was like a cattle drive. Herds of travelers moving from one kiosks to another, check in, boarding pass, weight your luggage, tag it and if flying out of JFK you take it over and loaded on the conveyer belt. Gate changes twice with little warning"
One hour late boarding with one hour late takeoff and poor response to feedback,Customer service response was a frank dismissal of facts about late departure due to cabin crew being almost an hour behind. No clear explanation for why we were sitting on the tarmac for another hour. Customer feedback agent minimized and dismissed these facts with no response
We continue to be impressed with JetBlue,"This was a great flight. Very attentive flight attendants, free wi-fi, and great seating space, especially for only Economy seats."
Excellent flight,This airline continues to give great value for your dollar. Flights both to and from where on time and the service onboard was excellent.
Terrible flight,"Flew recently on Jetblue, and were extremely dissapointed with the flight. The plane was filthy, the TVs are not working. The flight attendants had an attitute and were rude. Had family with 4 small children in the row behind us, one under 1, they started crying, screaming and"
Flight,We had a wonderful flight. The entire staff was very friendly & helpful. I would definitely Fly Jetblue again.
Great Airline,Great flight leaving from JFK. The flight crew was friendly and accommodating. A nice quiet early am flight.
Great service on Jetblue Boston to Richmond,"Great convenient flight on Jetblue between Boston and Richmond this weekend. The staff both ways were super nice, the pilot communicated regularly, and we made record time after a short delay in take off. A very easy flight although the terminal at Logan is terrible, hope they"
My favorite airline in the US,"In an industry that seems to take pride in pissing off their customers (at least in the US), this airline is the exception to that rule. We just flew on them as a partner airline to Qatar Airlines and we really liked them (again). I actually fit in their seats and don't feel"
"Lost Baggage, Careless Attitude, and Horrible Baggage Claim Services","My sister traveled from India to the US to see us here in FL. She landed at Tampa, FL, and gets to know that JetBlue left her luggage behind in JFK where she had her layover. She got her first bag after 7 days and the second bag wasn't found. The entire process from filing the"
New York to Havana,We had an amazing flight from New York to Havana. We did not buy luggage but you can get a cabin baggage and you also get free drink and snacks during the flight thanks to Jetblue
Disappointed Traveler,"Let me start out by saying, I have been flying with JetBlue for more than 20 years... For the past few years, I have been very disappointed to say the least. Flight prices can be a bit higher than norm. My last few flights with JetBlue has been major pains and disappointments."
A puddle hop,"Even though our flight was only a hop, skip, and a jump, it was great. The online checking with their app was effortless. All staff we had contact with seemed well trained and courteous. JetBlue gives a lot of bang for the buck."
Happy Flyer,"I always love flying with JetBlue. Checkin was easy with a very courteous staff, who assist me with the process. The seat was comfortable and the cabin was clean with friendly staff. It was a nice flight to Grenada. The baggage claim was good, I had no issues."
Things were broke BUT they fixed it,"I got seated and right away my tv wasn't working. This was a 5 hr flight, so needed my TV. After we got to a safe altitude the flight attendant found me another window seat and I was allowed to move. After a few hours that TV started acting up. Go figure both my TV's. The"
Just one small complaint...,"Jetblue has always been my flight of choice and in the most part everything went pretty well. Check-in was easy, aircraft was clean, crew was friendly and helpful and flight was on time. The only complain I have that entertainment was out and I was so ready to watch a movie."
Loved my first flight,"This was my first flight ever and it was awesome. Romaine, Jen and Jabanna made sure I was comfortable and my seat mates were great as well. The seating was excellent and as a hearing impaired person they really were great. I will definitely fly JetBlue again. My only problem"
Great Service,"I just want to thanks ALLYSON, it was a pleasure having you there helping us through the check in process. You went the extra mile and beyond. You are great asset to the company. From now on just JetBlue."
Wow love Jetblue!,From the easy checkin to the friendliest staff I will fly JetBlue whenever I have the chance! The seats were very roomy and lots of snack choices. Also TV’s with free movies. What more can you want.
Don’t pay extra for exit row seating,My wife and I paid $35 each to move to exit row on the day of the flight 9/28 cause the two rows were empty. However once getting the plane the flight attendant Travis Williams gave the seats to passengers who didn’t pay for the seats. So why pay? Just ask the flight
JetBlue is my go to airline,"I travel to Florida about every 8 weeks and JetBlue is my go-to airline. The boarding and deplaning are always fast and efficient. The jets themselves are up-to-date and clean. The price is as good, if not better than other airlines. I use my JetBlue credit card and get a"
"Free TV, movies, and Internet is appreciated","We recently took JetBlue for five flights to 4 different cities. We really appreciated having the free screens on the back of the seats in front of us to watch TV and movies, as well as free Internet access for our devices. That made the trip go by much faster. The screens on"
JetBlue scores again,"Great legroom space, smooth flight. I was even upgraded to more legroom on the flight going down, without added fee."
Very enjoyable flight,"We flew from JFK over to Martha’s Vineyard and returned a week later. The flight time was about an hour and it was a very enjoyable flight. Make no mistake, I wouldn’t wish to use JetBlue for a long haul flight, as there wasn’t the most leg room and the seats aren’t the"
JetBlue great flight as always,Great nonstop am flight to paradise of Aruba other than a few little bumps over Hispaniola smooth eagling arriving flight
Willblais,JetBlue is great the people are nice and very helpful. JetBlue is the only airline that my wife and I will fly.
Mint marvelous,"Took the 8 30 pm flight from Los Angeles to Kennedy Simply put the best most economical 1st/business class for transcontinental flight Spacious seating with a full lie flatbed, food service done uniquely with a nice platter and assortment of salad sandwich and soup , "
JetBlue rules,"JetBlue is by far, the best airline out there. Free WiFi, free movies, free snacks, legroom, leather comfortable seats, clean airline! My preferred airline when I travel."
Best domestic FIRST CLASS in the air - WORST WEBSITE of them all!,"I've always enjoyed Jetblue for a variety of reasons, but when they started their MINT CLASS service out of select airports, that sealed the deal for me. I frequently fly First Class for business, and on one occasion, Jetblue was the only option so I had to take it. Was I"
The old cabin interior,The cabin interior was of the old Jetblue type. The legroom was very good. The flight took off and landed on time. The seat back screens appear really tiny. The beverage and snacks were Ok. The flight was around 5 hours and 30 mins. On flights of this duration there should be
On time and good leg room,"On time and good leg room space, boarding was easy and free wifi great. Only let down by dirty tray tables with food smudged over them and coffee drips over outside. Food snack packs reasonable, we had the cheese and crackers for $12 which included 2 hard cheeses and a Brie,"
Direct to Aruba,"Mint service is exceptional, well worth the extra. Seats are incredibly comfortable (massage chairs you can fully lay down in), movie screens are larger, food is delicious, service is personal. Simply can not say enough. Treat yourself and upgrade to mint. Only regret is"
"Great Legroom, and excellent staff","I always select my flights based on price and timing, so I don't have very high expectations of comfort or great service, so when I have such a good experience with both it feels that I need to share it. I was shocked by how much legroom there was, I could stretch my knees all"
Good but not as good as expected,"The trip to Orlando had severe turbulence, the pilot was excellent, had complete control of plane, Never felt there was ever a problem or any issues.The return flight from Orlando to Buffalo wasn't very good. First, delayed and told TV's weren't working, however TV's had been"
Good space. Helpful staff,Good and clean plane. Space is likely best in airline services. The courtesy staff was a great help. He was able to clear my PreTSA quickly at the airport.
Major delay with lame excuse but excellent in-flight service,"Our flight from Burbank was scheduled to leave at 9:30 pm 8/18, arriving JFK 5:30 am, Princess cruise leaving in late pm 8/19 Between 6-8 pm, I received 6 emails hourly from JetBlue saying the flight would be late one hour at the time. Last email said it changed to depart at 8"
Jet Blue JFK/Aruba Aug 2019,"I would normally give Jet Blue a 5 star rating because they provide great, comfortable service. However, on this recent flight, we had major confusion at JFK resulting from having to check our own bags and bring them to the bag handler to be placed on the plane. There appeared"
An eyecatching upgrade,Jetblue has upgraded its cabin. The new color scheme is pleasing. The leg space is still good. The new seats look and feel good. The seatback touchscreen TVs are large and of high resolution. The USB charging port is a nice addition. The maps have improved though the middle
Great way to travel cheap.,"A two day, one overnight trip. Only a carry-on, so no need to worry about overhead space. Also the Je Blue seats seem to better placed, so standard foot room is suffiient for this 6'-0"" person. Also, since I don't mind center seat, I paid the basic minimum price. What a"
Best airline I've been on.,The best airline I've been on. Very comfortable. I can bring two bags on at no additional charge. Wi-fi and TV on domestic flights. I went from Newark to Fort Lauderdale then off to Cartagena. Same way back. Jetblue all the way.
The best experience EVER,"My first time flying with jet blue was this past weekend coming home from Fort Lauderdale Florida, to Phl airport in Philadelphia. I was at first nervous being I don’t really love to fly to begin with but I didn’t hear much about jet blue in the past. Long story short I was an"
fantastic airline,"have been flying back and forth and will be for business and love this airline, planes are clean, staff is always nice very few delays and just a pleasant experience overall"
Good Flight,"I didn't give this flight a 5 star review because there are some things that could b improved upon, however the plane was clean, the flight attendants were friendly and really, other than that the headphone jacks on the seats were very touchy (I really didn't like that when"
Fly jet blue,After bad experiences with other airlines we will only fly jet blue or not go.if you are flying from nj avoid newark airport its a disaster we found a small airport in westchester n jet blue flys to Orlando the airport is restricted on how many flights a day..it is no hassle
Great experience,"JetBlue customer service is excellent - they were very helpful in arranging this flight on short notice, and I was very happy to get a direct flight. They really do care about their customers."
Boarding process was difficult,"Terminal doesn't have speakers in which customers can hear the announcements, this cause problems during the boarding process because everyone walk and stay the same time in front of the gate door. It was terrible!! Very disorganized. Plane arrived early to the gate (2 hours"
If I could fly Jet Blue all the time I would,I fly jetblue all the time when I can so this review is just about the airline in general. The ONLY complaint I ever had is one time I was told I could not have anymore to drink and I literally just had 2 drinks over a 3 hour flight and was not in the least bit drunk. Not sure
Non Negotiable,I have never flown any airline but Jet Blue. I travel to Aruba and Las Vegas every year. I needed to change the hotel part of my package in Las Vegas to a more expensive one. They made sure they charged me an Extra $200.00 to merely push a button. So disappointed. Not the way I
Top notch airline!,"I have been a Mosaic for 4 years and fly them at least 4 X a month. I will say, you will get the occasional delay, but for the most part, they are pretty consistently on-time. I live in NY and it can get complicated with this congested airspace. I always recommend to people,"
Check In Service,"Pity service at check in I flight very frequently, and at the last minute option I chose to fly Jet Blue. Today 25 Sep 19 at about 03:30 I make my line and when I am called I give my ID. The person at the counter tells me sharply, I don't need your ID what do you need, I tell"
Always exceptional,We always upgrade to the extra room seat! We love Jet Blue they always try their best. Friendly and kind service and they do their best to get us to our destination on time. On our top of the list.
Clean planes that leave on time,"We have flown JetBlue several times now and they have been consistently good. The planes are clean and reasonably comfortable, the staff is friendly and professional. Like all airlines, everything is extra except soft drinks and some snacks. They offer blankets, pillows and"
Embriar 190 planes,The planes are small yet you have your own tvs to watch. Make sure you bring head phones or ear buds to listen. The planes are timely in leaving and aarrival.
Great flight,"First time ever flying JetBlue. I normally fly delta! This was a last minute trip and jet blue was the cheapest! I am so glad I tried them out! Comfortable leather seats, male attendants and a smooth flight. I will certainly fly again in the future."
"trouble-free, coast to coast","The easiest and best airline for business. No nonsense. Does not cancel or delay flights. While some of my business colleagues were delayed by 48 hours on another US airline flying from Cali to NY, I have never had that trouble on JetBlue."
Jet Blue,Every time I fly with JetBlue the flights are delayed. I’ve flown with them 4 times and I can never guarantee getting to my destination at the correct time because it is always delayed.
Definitely recommend,"My fiancé and I absolutely love JetBlue! The staff is great at the Aruba Airport, but it could be better at the Fort Lauderdale Airport. The prices are great and so is the service. We even flew Mint and it was just amazing! Just one crew member was a little rude to me but we"
"Reliable, affordable, and so many perks!","Flew from ATL to Guayaquil, Ecuador for our first experience. The leg room was unparalleled and there were perks I thought was no longer in existence on airlines: snacks, free drinks, free tv! It was a truly great flight."
be very careful about cancellations,"I cancelled a flight 2 hrs after booking (only 1 seat was left, so I jumped). It didn't work for me so I cancelled. Every normal airline I've dealt with would refund the full amount to the credit card. Not JB: they took a $200 fee and only gave a credit valid for 1 yr on JB. "
Flight Cancelled - JetBlue left us stranded,"I logged in to JetBlue to check-in on line 4 hours before my scheduled flight. When I did I noticed the flight was delayed by an hour - no other notice to me via text or email. Ok, fine, an hour is not a big deal. I check back in an hour and notice it has now been delayed"
Great Flight on time and actually got back early,Fabulous flight on time and got there early...customer service was amazing! The seating was great paid for ertra leg room so worth it!
"Ruined our vacation, terrible customer service","Booked airfare and hotel through Expedia. My partner and I booked a trip to Saint Martin, he holds a South African passport and checked online to see if he needs a visa to get into the country. After seeing mixed answers we decided the best way to get the answer was to call"
JEt Blue Flight to Aruba,"Very nice flights, Syracuse to JFK, JFK to Aruba. JFK runways were under construction, so a bit of a wait on the tarmac to get to the gate. Be sure to have at least an hour layover if you have to switch planes."
"Flying with JetBlue to Lima, Peru",When I have to fly to Peru is more convenient to be out of FLL airport . Air fares are affordable and cannot complain of the seats and service.
"Interesting flight attendant, great service!","Interesting flight attendant, very up beat and friendly. It was a very pleasant domestic flight of all time! They even served drink and snack, for FREE! The flight was very punctual, clean, and the leg room was very roomy. The terminal of jetBlue in LGA is the smallest,"
Arrogant staff,"Very arrogant staff at JFK , Not at all friendly flight crew. Unfortunately it was a connection flight and had no other choice. Plane was nice and enough left room. People who works.for JetBlue need a serious customer service training. They behave like we are getting free"
Pleasantly surprised,It was our first time flying Jetblue in about 15 years. There are a lot of improvements. The crew and airport staff were friendly and helpful. The seats were comfortable with enough legroom. They served beverages and snacks multiple times. The things that I didn't like were the
Always consistent,The plane was new and beautiful. We purchased even more space which was worth the price. Both flights were on time and we were treated very well by Jet Blue staff. We thoroughly enjoy flying Jet Blue.
Jamaica Bound,"Our experience with JetBlue was nothing but top notch. This was our first time using this company and for the amount of money we saved we elected to fly out of Orlando Fl, vs. Valdosta GA. The staff was friendly, professional, and the aircraft was one the newer ones. Plenty"
"jetblue was the BEST, from start to finish.",Jetblue employees couldn’t be any NICER & the flight was GREAT Aircraft was very clean & comfortable nice choice of snacks & drinks. Lots of movies to watch.
Jamaica trip,I mostly fly JetBlue great services and price friendly staff clean planes easy to upgrade or change plans
"Great flight, Terrible experience on landing and leaving Chicago","Be very prepared for the awful experience of JetBlue at O’Hare, You land at terminal 3 and get your bag at terminal 2. Leaving it is the other way around. Check in at 2 and leave at 3. I do not think it is JetBlues doing, space and all that but the crew at landing and leaving"
My new Favorite,"R/T flights were right on time, staff was friendly, plenty of leg room, free movies, got a great R/T fare...first time flying with JetBlue and was very happy."
JetBlue to Jamaica,The flight on JetBlue was a mixed bag. The flight to Montego Bay Jamaica was great. Check in was almost all automatic We printed our own boarding passes and luggage tags. There’re were personnel at the kiosks to assist you if needed. The flight we were on had large seats with
Great customer service given the challenges.,"Was scheduled to fly into Nassau on Sunday but due to circumstance we didn't make it back till Tuesday. Every staff person I encountered during these cancellations was 100% professional, courteous and understanding of the individual needs. We gave it a go on Monday morning and"
Friendly staff,Friendly staff. Easy check in. No problems with punctuality of flights. As expected only packets of crisps etc and beverages. Prior to flights contacted JetBlue via live chat to reserve seats and the lady that dealt with it was extremely helpful.
Consistency is Key,"Took a business trip to MA. As always from FLL to BDL and back the JB employees were outstanding. No need to wait for help, they offered and were friendly and accommodating. During the flight back, it seems they renovated the inside of the plane. All-new seats and interior of"
"Delays and cancellations, terrible customer service!",This was the first and last time I will ever fly Jetblue. Flight out was delayed twice and flight back was delayed twice and then cancelled. Customer service was horrible. Kept trying to put me on flights to another airport. They finally got me on a 5:45 am flight the next
JetBlue was better in the past!,"JetBlue use to be my favorite airline, until it started being constantly late! Nowadays it is an exception for a JetBlue flight to be leaving on time and from the advertised gate. Not easy or pleasant to run from gate to gate, several times for the same flight! Also, if you"
Delayed flight allowed us to change to a closer airport,I received an early notification of my flight from PBI to Boston was delayed. It did not leave until 6pm but I did not want to be stranded in Florida. I called Jetblue and they rebooked two flights from FL to worcester which was closer to home. Good service. No fees.
Poor Service from JetBlue Airline,"I'm a blind passenger who purchased a premium economy seat and was treated as if I needed a wheelchair. I could've deplaned first however, the airline waited for a wheelchair which lead me to be released with last group leaving the plane."
"Terrific Crew :Anna, Julia and Tosha - Flight #780 MBJ-JFK","Had a terrific flight back home with this wonderful trio, they were very pleasant and accommodating, makes the jetBlue experience even lovelier - thanks guys."
Excellent!,Always is a pleasure flight with Jet Blue. Is a Low Cost Airline but its service is excellent. Every step is easy without trauma....
Trip back made up for the trip to,First time flying JetBlue and I would give it a 7.5 to 8 score on the FH scale. Burbank to NY was pretty smooth and had just a couple of hiccups taking off and landing which felt like inexperience to me but tolerable. So grateful that the cockpit team for the NY-Bur leg was
First Time Jet Blue flyers,"We enjoyed our first flight on Jet Blue. In particular we liked having just two seats in a row, which was very comfortable. The flight itself had no issues, It departed and arrived on time. I do wish that the airline provided at least a little bag of pretzels or cookies, and"
enjoybale flight,I enjoy flying with JetBlue as I can watch a good movie or tv during the flight with no problems. The service is always great and I have zero complains every time I fly.
Nice Trip on JetBlue,Very smooth flight with it being right on time. Onboard crews were friendly and helpful. Seats were comfy in the new plane.
Better seats and in-flight entertainment than most others,"Jet Blue does a very good job--friendly flight attendants, free drinks and snacks, decent seats and very good in-flight entertainment. If the dates/flights work out, its my go-to airline. I'm 6'5"" so other than a big price difference for an upgrade, this airline gives me more"
Another great Jet Blue experience,"Very convenient to get inexpensive non-stop service from RSW (Fort Myers) to Logan (Boston), even better with JetBlue!! No charge for carry on or seats like on most airlines now. Flights were both on time and service was very courteous."
Awesome Aruba experience,"The flight took off on time , there was ample explanation of all flight procedures and amenities; the flight crew was very professional and accommodating. The arrival and deplaning in Oranjestad was smooth and problem-free. Airport operations in Aruba are modern and highly"
policy of no refunds other than credit to fly,had to cancel for illness..even was on Mint class..they deducted $400 for a change fee and then took the entire balance as a credit into a fly with jet blue account refusing to give the money back!! how can a business class ticket be so restrictive. this airline is out of line
Another great experience with JetBlue,Everything about this flight went well - timely and easy boarding. I was able to put my carry on bag overhead next to my seat. Comfortable seating - I appreciate being able to upgrade to even more space - it's an affordable upgrade and more space is always worth it in my
Friendly staff. Free snacks and beverages.,"JetBlue is a nice, friendly, reasonably priced airline. Passengers receive free snacks and beverages. The free wi-fi is really convenient for watching movies and listening to music. The staff are wonderful at keeping passengers updated on luggage terminals and any changes in"
