Title,Review
Flight crew worse then the 2 hour delay,We started out with an hour delays flight 319 FLL SLC 10/14/19. After finally boarding and sitting for some time in the aircrafts we saw OPS walk down the isle of the plane ... not good. Come to find out that during the loading of beverages and snacks they broke a latch that
Helped us leave Ecuador,We had to change our outgoing location from Guayaquil to Quito due to the unrest against the goverment.I was traveling with my parents and 2 children. We had a flight from Cuenca to Quito and the flight was one hour and 18 minutes late. Jetblue got our luggage on our flight and
NY escape,"jetBlue will always be my top choice to fly, the usually have good prices if you look and plan your trip with time... now when you say expensive BOOM they are expensive, so always be on the lookout and plan your ""escapes"" with time. They offer great info prior, during and post"
Free WiFi and unlimited snacks!,Would recommend all to JetBlue. The free WiFi while in the United States as well as the unlimited snacks separated them from other airlines. Cost of flights were respectable too!
Normally fly jetblue but last flight was TERRIBLE,"I normally fly Jetblue for both business and personal and I typically have a pleasant experience. This particular flight was extremely turbulent for what I feel was an extended period of time, well over an hour probably closer to 2 hours. The flight was so turbulent that no"
Jet Blue DCA to Montego Bay,"Flight was on time, seats were decent, snacks and soda were free. Flight was smooth as were takeoffs and landing, no delays. However any safe flight I believe is a good flight."
Jet Blue light JFK to Aruba,"Flight was on time, seats were fairly decent, snacks and soda were free. Flight was smooth as were takeoffs and landing, no delays. Checked bags were $30 each, not so good but all airlines are squeezing checked bags. Annoying things were the add on convenience items that they"
Family trip,My family and I had such a great experience flying jet blue! It happened to be my parents and brothers first time flying and they were very nervous. The fact that the airline sold headsets to be able to plug in and watch a movie really helped them calm their nerves and they even
"Rude staff, Jet Blue app not working, disrespect.","I ve never in my life experienced a company that disrespects the time and needs of their paying customers. I had booked a $250 one way ticket to Chicago for Saturday early morning with Jet Blue as I had a very important professional meeting, I had decided to go a long time ago."
Try another company,7 hours of delay without an apology. Broken TV's on the flight. A flight attendant that seemed to hate everyone. Windows so dirty on the inside that you couldn't see out of. Won't be flying JetBlue ever again.
Normal Flight,"It was on time, and it was a normal flight. There was some manageable turbulence. Had a go-around once and ended up with pleasant landings, and pilots did not scare passengers about the bad weather at the landing site. Flight attendants were polite and did not disturb sleeping"
Leg Room,Easy check in. Able to switch seats. On time. Lots of leg room. Great snacks and cordial staff. I will fly this airline more often.
Good value,Very pleasant experience. Lovely check in staff and air crew. Lots of legroom. Nice clean aircraft. Departed and landed on time. Good selection of free snacks and beverages. Good selection of in flight entertainment. When did airlines start charging for pillows blankets and
Better experience,"I like JETBLUE , got offered extra legroom for not a lot of money , friendly personnel and on time flight"
Scary trip,To start the red headed girl at the counter was too busy watching videos on her phone to pay attention to her surrounding and the safety of the people at the gate. Then the girl on the flight who states she is an attendant was rude and moving people belongings without even
JetBlue is the Best!!,JetBlue is always our first choice to fly. Flights are always on time and flight crews are awesome! The larger seats are also a great plus! In-flight TV is especially enjoyable as I've had issues on other airlines trying to access the In-flight TV and that is a must for me
Usual flight,I take this flight about 8 times a year. Every time I take it it’s always on time. I can only remember flight once where we were taxiing down the tarmac and we had to turn around due to a medical issue with the co-pilot. Planes have always been clean and flight attendants
Even More Speed needs Even More TSA agents who know what it is,Both New Orleans and Denver have sent me back to the end of the regular line on more than one occasion when trying to use Even More Speed. And who is going to argue with TSA? Boston is great but these other airports need JetBlue to step it up with TSA.
Great flight on new A320,"If you have the chance to fly aboard the A320, do so! Excellent leg room, seats are more comfortable and the storage is excellent. The flight was delayed but this was due to bad weather in Boston.. no big deal. The crew was excellent and the flight seemed to take no time at all."
Excellent flight,"Excellent flight - departed on time, arrived a little ahead of schedule. Flight crew and attendants were great... Ground staff were very good as well in Boston. The on board entertainment was above average..."
Convince Me,"I need convinced that we should use JetBlue in the future. We live in Pittsburgh and have used JetBlue for 99% of our travels. December 2018, Pgh to Naussu. We missed our connection in Lauderdale by less than 10 min due to a mech problem in Pgh before we left. Eight people for"
Flight Crew.,The crew on our flight to Orlando were great and on our return flight were just as great. I would fly Jet Blue again and would recommend them to any on of my friends. Jet Blue should be proud of them.
On flight entertainment!,"I had the middle seat. The two passengers in front (middle one empty) watched movies the whole 4+ hours. One watched sex porn showing a couple in bed thrusting and banging each other, in the nude suggestively several times over the length of the movie. The other passenger"
Flight to NOLA,"JetBlue has become one of my favorite airlines to travel with. They have great customer service, the seats are a bit roomier than other airlines, and I’m a big guy so that matters. I’m also quite tall and appreciate the extra leg room.. the offer of upgrading to a roomier seat"
I am Jet Blue fan. Fly nonstop to SFO to visit grandchildren. Nice new plane,"Always a good experience, but for the return flight home and for the second time in a row, my TV did not work. I am a reader so no big deal, and I accepted a cocktail for the inconvenience. The flight attendant did find me an aisle seat, like the one I was in with an"
JetBlue nonstop JFK—> St Maarten,"Best RT nonstop, on-time service from JFK/St Maarten/JFK. Convenient time schedule with professional crew."
If I could give them a negative review I would!!,"I arrived to my gate at the exact time of the gate closure and they would not let me on. Claimed the pilot ""already had his numbers"". I will never use them again!"
Airline that remembers what customer service is,"I took a red eye flight from Denver to Boston first. Wow, I got on the plane and everyone got a eye blinder to take a nap on the flight. It was sitting in my seat when I got on. Slept most of the time. The next flight to Santo Domingo when I was awake noticed flight"
Nothing to complain,"Excellent boarding, on time, felt safe, good service, perfect disembarking, nice crew, fast baggage at destination"
Flying to cruise port,Flew from NY to Fl to cruise. Great flight. Flight attendants were very friendly. Free beverage and snacks
LOVE JETBLUE!!,"JetBlue is very reasonable when it comes to pricing and the service and staff is just superb!! I have not had one bad experience with them, the leg room they give you is so much better than any other airline and the in flight entertainment is amazing!"
Perfect Flight,"We flew from Rochester, NY to NYC, then from NYC to Seattle, WA...the flights left on time and arrived on time. The staff at the airports were very helpful, and friendly, and the staff on the plane were very friendly, yet professional. I would recommend Jetblue to family and"
Excellent,"My husband and I had a wonderful flight! We will defiantly fly jet Blue again. The crew was so friendly and kind, top notch service! The polite was great, very nice and very informative."
"THE WORST AIRLINE AND CUSTOMER SERVICE EVER, wouldn’t recommend to anyone. I recommend for you to AVOID them!!!!","We were delayed 5 hours and 7 minutes flying from Orlando to DC. It was not related to weather, as very few other flights surrounding us were delayed. We were told that the plane we were supposed to be on was coming from Nassau and was delayed, so we were then put on a different"
Good flights always and usually on time,"I have been flying Jet Blue for the last 20 years and have always had good flights and usually on time back and forth from Florida to New York. Unfortunatly, the only bank they use for their frequent flyers is Barclaycard which is the worst credit card ever. Their customer"
Love Jetblue,"Flew to Cancun from JFK late August, my daughters and I took an early morning flight. Staff on the ground and on flight friendly and helpful, the flight left on time and arrived early at our destination. Return flight was also good, we have traveled to different countries to"
jet blue vacations,booked family vacation on jet blue vacations and definitely saved money by not booking separately . I also add a car rental with hotel and saved. upgraded to Mint with savings which was a first class experience. I might sound like a commercial but I booked with my jet blue
On Time and Convenient,Jet Blue is a reliable and professional Airline that we fly as often as it is available tour destination. We always appreciate their non-stop service.
Great flight across the country.,"My wife and I are from the state of New York. Occasionally we need to travel to Los Angeles to visit my wife's sister. Our flight back from Los Angeles to Buffalo New York, was great. We were on a very new plane from JetBlue, the televisions were great. They were brand-new the"
BEWARE OF JET BLUE BAGGAGE POLICY (OVERWEIGHT),"Jet Blue states on its website that an overweight bag is $150; however, when you check in an overweight bag, JetBlue charges you $30 for the ""first bag"" PLUS the $150 because the bag is overweight for a TOTAL of $180 for one overweight bag."
"Jet Blue, the best of the best",Many trips to and from Newark NJ to Delray Beach FL. The best in legroom and the best of the best in customer service
Rude people,After a 17 hour flight I booked a flight from Sydney to Melbourne to get home after a business trip. I was randomly selected twice to be searched. I finally get onto the plane and into my seat when an employee came to me and said that I would need to leave because of a battery
Very angry paying extra for legroom when others don't have to,I flew from Boston to Aruba. I paid extra for my husband and I to have extra legroom as my husband has a leg injury. Only to find out the guy next to me sat next to us but did not pay for the extra room. He saw the seat next to us was open and took it. Flight attendants should
"Amazing service, smiley staff, Wifi + dogs...what else you need?","We haven't flight with them, that was our first experience. Flight was on time to Miami and back also. It was a std. Airbus and has a very good leg room for no extra money. Pets allowed, so we had a very cute new friend on our trip. The stewardess on the plane was so lovely!!"
Great Staff & unlimited snacks and beverages,"What a great flight. We hate flying at night, but it was doable with quiet and helpful staff. We had a round trip and both times pleasant. Wonderful that they give you unlimited snacks and beverages - help yourself half way through flight. Don't like that they have people"
My preferred Airline,"Best airline for tall people who need leg room. Even if you do not pay for an extra room seat, you will have enough room to fit your feet and backpack. I cannot function without the internet or flight tracker. These planes all have it. Engines are quiet and staff are always"
Flight from Dallas Fort Worth to Richmond VA and return,First time flying JetBlue. It was a very nice experience. There is more legroom than on other airlines. The flight attendants were very professional and attentive during the flights. I would highly recommend this airline. Their flight schedule is a little limited depending where
Old reliable,"Comfortable seating, great web site for easy booking. Phone alerts, and easy to use phone app. Clean planes, great flight attendants. Flight was leaving late and they gave us free pre packaged meals for free. Always had a pleasant flight with jet blue."
Good Airline,"Jet blue provides on time service, snacks and good customer service. A reasonable priced airline with a few perks."
All good,"Great Airline. No complaints. Free WiFi, snacks, and drinks. Nota cattle car like AmericanAirlines. awe willl always take JetBlue from now on."
Surprised,"Happily surprised. Great service provided by the flight attendants, WiFi and entertainment during the flight, and even snacks. The only bad side was that I got the last seat because I checked in late af."
Fast!,"It was honestly a very good and organized flight, both ways the boarding started right on time, and both flights reached their destination ahead of the scheduled time."
Worst customer service,"Worst experience by far today. I always fly JetBlue. In fact usually the ONLY airline I fly. Today I experienced the WORST customer service at Orlando airport JetBlue employees, Bobbie and Jason 'jay'"
Nice clean flight,"The flight was great. Got off on time. The plane was clean as well as the bathrooms. Customs at the airport was like always, crowed and long lines but thats government at work. (No lines at our southern borders) Bags arrived OK and with ne delays."
Excellent experience,"Yesterday my family flew from San Francisco to JFK in Jet Blue’s Mint Class, aka Business class. Our crew was led by Stephen and Rosa. They were professional and accommodating, as well as charming. The seats are comfy and the single pod set up is the best. The only complaint"
"Fasten Your Seat Belts, It was a Bumpy Ride","The flight hit a lot of turbulence, Otherwise it was a great flight, great service. Extra leg room is way to go."
Truly cares about its customers,I have been flying Jetblue for years and I consistently experience top notch service.I first started flying Jetblue when I moved to DC for college and their DCA to JAX flight was always well priced. My last flight with Jetblue was this past weekend to Montego Bay. It's the
Mrs,This airline is one of my favorite! They always treat me like family. Customer service is always far and beyond. I’m so happy to fly with jet Blue my Mike is the best ! Thanks jet blue for always giving the best
GREAT,"Excellent service....Timely take-off ....Perfect Timing........Keep it Up.... Very Professional attitude & behavior, by staff...."
Can't Beat Aruba Nonstop from Boston,"Our flights in both directions were perfect, excellent service, on time arrivals, friendly staff. The point of this review is too suggest people from Boston take the nonstop flights. The 7 am flight from Boston gets you in Aruba in time for lunch. We heard bad stories from"
Non Stop Flight,"My husband and I flew from Fort Lauderdale, Florida to Albany, New York on JetBlue. We couldn’t pass up the great deal ($89. each-one way) or the non stop flight. Our flight was great! Flight crew was friendly, seats are spacious and clean. They do have extended leg room seats"
JetblueB6 386 BGI - FLL 9/17/19,"Check in was quick and easy. Boarding orderly and seem quick efficient as the full flight was boarded and ready to taxi quite fast. Onboard seats were ok considering it was an old aircraft, generous legroom. Flight attendants were friendly, engaging and very informative."
Flight was on time but very basic,"Good weather and low demand time assured that this midday Sunday flight was on time However TV did not work at my and many other seats Wi Fly took forever to open, and it did not offer anything except shopping on Amazon Drinks are becoming smaller and smaller less than 1/2 cup"
Jetblue service B6 386 BGI-FLL 9/17/19,"Check in was quick and easy. Boarding orderly and seem quick efficient as the full flight was boarded and ready to taxi quite fast. Onboard seats were ok considering it was an old aircraft, generous legroom. Flight attendants were friendly, engaging and very informative."
Easy in and out,"JetBlue is always an easy flight, check in 24 hours in advance, pay for luggage, arrive at airport and you are on your way."
Jetblue,"Omg I had such a great experience flying with Jetblue. Checking was super easy, flight was on time and the seats on the aircraft was very roomy. I traveled with my boyfriend who is a very big guy and he was very comfortable on the plane. Our trip was worth every penny and we"
Quite Nice,Seemed a little more leg room. Leather seats. Display screen with many options to watch or listen but be sure to bring your listening device or pay an arm and a leg to get one.
Efficient Friendly Comfortable,"I continue to be impressed by JetBlue. Round trip Boston to San Francisco. Lots of leg room, great service and ON TIME. What more can you ask for?"
My Last 2 trips,"Although the flights over the last 4 years were nonstop, It would be better if I flown during the day instead of at night landing in Reno, and landing in the morning back at JFK on a red eye flight. There should be a daytime flight direct and nonstop."
Nothing like a mint flight on JetBlue!!,"Lay down relax and enjoy the flight!! Flying mint is the way to go. The seat layout to full beds and the massage you !! And the food is yummy!! You get three different small plates!! Best thing and you can’t mess is their signature cocktail get that with or without vodka I "
"Terrible customer service the wait times are outrageous and still no help with booking, jetblue is terrible now!","Would like to book a flight but I can’t! Ridiculous I don’t have time to wait on the phone for an hour, get it together jetblue"
Comfortable safe flight,"Comfortable seats,clean,pleasant flight attendants,direct flight. WiFi is free with jet blue card. Only negative was red eye flight home where flight attendent was talking loud to another passenger for some time disrupting my sleep."
Delays,"While en route to Logan airport for my Jetblue flight today, I get an email that my flight to JFK is delayed by two hours — I would then miss my connecting flight to Albuquerque. The agent was very helpful and put us on the earlier flight which was supposed to leave at 1:30pm"
no customer service,"on our flight the monitor didn't work at my seat. . the flight attendants were less than helpful.After three different attendants hit the, reset button, to no avail, offered no recourse . No seat change,no offering any extra drinks or snacks. They were fine with me flying from"
Horrible experience! Worse than spirit and frontier!!,What a Surprise it was for me to finally fly jet blue. When I looked for my airplane tickets I had options that went from $20 to the most expensive which was 69 and the $69 1 is the one I picks because I thought you know what I've never flown jetblue before and let me see if
